,store_id,store_name
0,25,Epic Games Store
1,23,GameBillet
2,25,Epic Games Store
3,7,GOG
4,3,GreenManGaming
5,34,Noctre
6,34,Noctre
7,30,IndieGala
8,30,IndieGala
9,2,GamersGate
10,27,Gamesplanet
11,30,IndieGala
12,2,GamersGate
13,34,Noctre
14,27,Gamesplanet
15,3,GreenManGaming
16,34,Noctre
17,34,Noctre
18,34,Noctre
19,30,IndieGala
20,27,Gamesplanet
21,2,GamersGate
22,3,GreenManGaming
23,34,Noctre
24,34,Noctre
25,34,Noctre
26,27,Gamesplanet
27,3,GreenManGaming
28,3,GreenManGaming
29,34,Noctre
30,34,Noctre
31,27,Gamesplanet
32,27,Gamesplanet
33,30,IndieGala
34,30,IndieGala
35,2,GamersGate
36,2,GamersGate
37,27,Gamesplanet
38,27,Gamesplanet
39,3,GreenManGaming
40,27,Gamesplanet
41,34,Noctre
42,27,Gamesplanet
43,27,Gamesplanet
44,27,Gamesplanet
45,30,IndieGala
46,30,IndieGala
47,2,GamersGate
48,2,GamersGate
49,27,Gamesplanet
50,34,Noctre
51,29,2Game
52,23,GameBillet
53,3,GreenManGaming
54,34,Noctre
55,27,Gamesplanet
56,30,IndieGala
57,2,GamersGate
58,29,2Game
59,23,GameBillet
