,gameID,store_id,og_price,dc_price
0,291141,25,24.99,0.00
1,267363,25,39.99,0.00
2,285470,7,92.94,4.64
3,191972,3,65.92,5.27
4,210040,34,79.99,7.20
5,198716,34,89.99,8.10
6,219675,30,69.99,6.99
7,210040,30,79.99,7.99
8,210040,2,79.99,8.00
9,210040,27,79.99,7.08
10,198716,30,89.99,8.99
11,198716,2,89.99,9.00
12,157072,34,74.99,9.00
13,198716,27,89.99,8.10
14,170046,3,69.99,9.24
15,202932,34,79.99,11.20
16,227495,34,79.99,11.20
17,171780,34,79.98,11.20
18,157072,30,74.98,9.74
19,157072,27,74.98,8.75
20,157072,2,74.99,9.75
21,188229,3,79.99,10.56
22,237593,34,89.99,12.60
23,237437,34,99.99,14.00
24,218851,34,84.99,12.75
25,202932,27,79.99,10.27
26,188216,3,99.99,13.20
27,170045,3,99.99,13.20
28,191458,34,89.99,13.50
29,174472,34,89.99,13.50
30,227495,27,79.99,10.77
31,237593,27,89.99,11.75
32,202932,30,79.99,11.99
33,171780,30,79.98,11.99
34,202932,2,79.99,12.00
35,171780,2,79.98,12.00
36,153679,27,79.99,11.00
37,171780,27,79.98,11.00
38,188217,3,119.99,15.84
39,237437,27,99.99,12.99
40,272975,34,79.99,13.60
41,174472,27,89.99,12.49
42,191458,27,89.99,12.49
43,198630,27,99.99,13.75
44,174472,30,89.99,14.39
45,191458,30,89.99,14.39
46,174472,2,89.99,14.40
47,191458,2,89.99,14.40
48,272975,27,79.99,12.49
49,246994,34,74.99,14.25
50,233316,3,79.99,14.08
51,237594,34,109.99,18.70
52,198638,27,129.99,17.86
53,227569,30,79.99,14.39
54,227495,2,79.99,14.40
55,246994,27,74.99,12.99
56,237594,27,109.99,16.99
57,153679,11,79.99,11.99
58,227942,30,39.99,7.99
59,241096,3,99.99,17.60
