,gameID,store_id,original_price,discount_price
0,290133,23,34.99,22.99
1,291141,25,24.99,0.00
2,288787,23,49.99,36.49
3,267363,25,39.99,0.00
4,285470,7,92.94,4.64
5,191972,3,65.92,5.27
6,210040,34,79.99,7.20
7,198716,34,89.99,8.10
8,219675,30,69.99,6.99
9,210040,30,79.99,7.99
10,210040,2,79.99,8.00
11,210040,27,79.99,7.08
12,198716,30,89.99,8.99
13,198716,2,89.99,9.00
14,157072,34,74.99,9.00
15,198716,27,89.99,8.10
16,170046,3,69.99,9.24
17,202932,34,79.99,11.20
18,227495,34,79.99,11.20
19,171780,34,79.98,11.20
20,157072,30,74.98,9.74
21,157072,27,74.98,8.75
22,157072,2,74.99,9.75
23,188229,3,79.99,10.56
24,237593,34,89.99,12.60
25,237437,34,99.99,14.00
26,218851,34,84.99,12.75
27,202932,27,79.99,10.27
28,188216,3,99.99,13.20
29,170045,3,99.99,13.20
30,191458,34,89.99,13.50
31,174472,34,89.99,13.50
32,227495,27,79.99,10.77
33,237593,27,89.99,11.75
34,202932,30,79.99,11.99
35,171780,30,79.98,11.99
36,202932,2,79.99,12.00
37,171780,2,79.98,12.00
38,153679,27,79.99,11.00
39,171780,27,79.98,11.00
40,188217,3,119.99,15.84
41,237437,27,99.99,12.99
42,272975,34,79.99,13.60
43,174472,27,89.99,12.49
44,191458,27,89.99,12.49
45,198630,27,99.99,13.75
46,174472,30,89.99,14.39
47,191458,30,89.99,14.39
48,174472,2,89.99,14.40
49,191458,2,89.99,14.40
50,272975,27,79.99,12.49
51,246994,34,74.99,14.25
52,246047,29,79.99,16.00
53,246047,23,79.99,16.00
54,233316,3,79.99,14.08
55,237594,34,109.99,18.70
56,198638,27,129.99,17.86
57,235447,21,99.99,18.99
58,227569,30,79.99,14.39
59,227495,2,79.99,14.40
