title,gameID,store_name,original_price
"Rugrats: Adventures in Gameland",291141,"Epic Games Store",24.99
"Funko Fusion",288787,GameBillet,49.99
"Super Crazy Rhythm Castle",267363,"Epic Games Store",39.99
"V-Rally 4 Ultimate Edition",191972,GreenManGaming,65.92
"One Punch Man: A Hero Nobody Knows Deluxe Edition",210040,Noctre,79.99
"Cycling Bundle",219675,IndieGala,69.99
"One Punch Man: A Hero Nobody Knows Deluxe Edition",210040,IndieGala,79.99
"One Punch Man: A Hero Nobody Knows Deluxe Edition",210040,GamersGate,79.99
"One Punch Man: A Hero Nobody Knows Deluxe Edition",210040,Gamesplanet,79.99
"ONE PIECE BURNING BLOOD GOLD EDITION",157072,Noctre,74.99
"Assassins Creed Origins Deluxe Edition",170046,GreenManGaming,69.99
"CODE VEIN Deluxe Edition",202932,Noctre,79.99
"SCARLET NEXUS Deluxe Edition",227495,Noctre,79.99
"Ni no Kuni II: Revenant Kingdom - The Prince's Edition",171780,Noctre,79.98
"ONE PIECE BURNING BLOOD GOLD EDITION",157072,IndieGala,74.98
"ONE PIECE BURNING BLOOD GOLD EDITION",157072,Gamesplanet,74.98
"ONE PIECE BURNING BLOOD GOLD EDITION",157072,GamersGate,74.99
"Assassin's Creed Odyssey - Deluxe Edition",188229,GreenManGaming,79.99
"CODE VEIN Deluxe Edition",202932,Gamesplanet,79.99
"SCARLET NEXUS Deluxe Edition",227495,Gamesplanet,79.99
"CODE VEIN Deluxe Edition",202932,IndieGala,79.99
"Ni no Kuni II: Revenant Kingdom - The Prince's Edition",171780,IndieGala,79.98
"CODE VEIN Deluxe Edition",202932,GamersGate,79.99
"Ni no Kuni II: Revenant Kingdom - The Prince's Edition",171780,GamersGate,79.98
"Watch_Dogs 2 Gold Edition",153679,Gamesplanet,79.99
"Ni no Kuni II: Revenant Kingdom - The Prince's Edition",171780,Gamesplanet,79.98
"Captain Tsubasa: Rise of New Champions - Ultimate Edition",272975,Noctre,79.99
"Captain Tsubasa: Rise of New Champions - Ultimate Edition",272975,Gamesplanet,79.99
"Ace Combat 7: Skies Unknown - TOP GUN: Maverick Edition",246994,Noctre,74.99
"Gotham Knights: Deluxe",246047,2Game,79.99
"Gotham Knights: Deluxe",246047,GameBillet,79.99
"Assassins Creed Valhalla Deluxe Edition",233316,GreenManGaming,79.99
"SCARLET NEXUS Deluxe",227569,IndieGala,79.99
"SCARLET NEXUS Deluxe Edition",227495,GamersGate,79.99
