gameID,title,release_date,scores
291141,Rugrats: Adventures in Gameland,2024-09-10,0.0
288787,Funko Fusion,2024-09-13,0.0
267363,Super Crazy Rhythm Castle,2023-11-13,0.0
285470,Maximum Entertainment Bundle,,0.0
191972,V-Rally 4 Ultimate Edition,2018-09-11,3.0
210040,One Punch Man: A Hero Nobody Knows Deluxe Edition,2020-02-27,2.2
198716,ONE PIECE World Seeker Deluxe Edition,2019-03-14,2.79
219675,Cycling Bundle,2015-06-18,0.0
157072,ONE PIECE BURNING BLOOD GOLD EDITION,2016-04-21,3.11
170046,Assassins Creed Origins Deluxe Edition,2017-10-27,3.97
202932,CODE VEIN Deluxe Edition,2019-09-26,3.54
227495,SCARLET NEXUS Deluxe Edition,2021-06-25,3.64
171780,Ni no Kuni II: Revenant Kingdom - The Prince's Edition,2018-03-23,3.89
188229,Assassin's Creed Odyssey - Deluxe Edition,2018-10-05,3.98
237593,TEKKEN 7 - Originals Edition,2015-03-18,4.02
237437,SCARLET NEXUS Ultimate Edition,2021-06-25,3.64
218851,Captain Tsubasa: Rise of New Champions - Deluxe Edition,2020-08-27,3.25
188216,Assassins Creed Odyssey Gold Edition,2018-10-05,3.98
170045,Assassins Creed Origins Gold Edition,2017-10-27,3.97
191458,SOULCALIBUR VI Deluxe Edition,2018-10-19,3.71
174472,Dragon Ball Fighter Z  FighterZ Edition,2021-09-09,0.0
153679,Watch_Dogs 2 Gold Edition,2010-01-13,4.41
188217,Assassins Creed Odyssey Ultimate Edition,2018-10-05,3.98
272975,Captain Tsubasa: Rise of New Champions - Ultimate Edition,2020-08-27,3.25
198630,Far Cry 5 and Far Cry New Dawn Deluxe Edition Bundle,2019-02-15,3.36
246994,Ace Combat 7: Skies Unknown - TOP GUN: Maverick Edition,2019-01-18,3.94
246047,Gotham Knights: Deluxe,2022-10-21,2.61
233316,Assassins Creed Valhalla Deluxe Edition,2020-11-10,3.72
237594,TEKKEN 7 - Definitive Edition,2017-08-29,3.29
198638,Far Cry 5 Gold Edition and Far Cry New Dawn Deluxe Edition Bundle,2019-02-15,3.36
227569,SCARLET NEXUS Deluxe,2021-06-25,3.64
235448,Back 4 Blood: Deluxe Edition,2021-10-07,3.22
