genre_name,description
Indie,Videojuegos creados por pequeños estudios independientes
Platformer,Juegos donde se salta y navega entre plataformas
Adventure,Juegos centrados en la exploración y resolución de puzzles
Action,Enfocados en la velocidad y combates intensos
Racing,Carreras de vehículos en diversos entornos y estilos
Fighting,Combates cuerpo a cuerpo entre personajes
Strategy,Planificación y control táctico para alcanzar objetivos
Simulation,Recrean actividades de la vida real o sistemas complejos
Sports,Basados en deportes tradicionales como fútbol o baloncesto
Arcade,Juegos rápidos y simples con foco en la habilidad
RPG,Desarrollo de personajes y narrativa en mundos interactivos
Casual,"Juegos fáciles de aprender, diseñados para el entretenimiento rápido"
Shooter,Enfocados en el combate armado desde diversas perspectivas
