,gameID,title,release_date,scores
0,291141,Rugrats: Adventures in Gameland,2024-09-10,0.0
1,267363,Super Crazy Rhythm Castle,2023-11-13,0.0
2,285470,Maximum Entertainment Bundle,,0.0
3,191972,V-Rally 4 Ultimate Edition,2018-09-11,3.0
4,210040,One Punch Man: A Hero Nobody Knows Deluxe Edition,2020-02-27,2.2
5,198716,ONE PIECE World Seeker Deluxe Edition,2019-03-14,2.79
6,219675,Cycling Bundle,2015-06-18,0.0
7,210040,One Punch Man: A Hero Nobody Knows Deluxe Edition,2020-02-27,2.2
8,210040,One Punch Man: A Hero Nobody Knows Deluxe Edition,2020-02-27,2.2
9,210040,One Punch Man: A Hero Nobody Knows Deluxe Edition,2020-02-27,2.2
10,198716,ONE PIECE World Seeker Deluxe Edition,2019-03-14,2.79
11,198716,ONE PIECE World Seeker Deluxe Edition,2019-03-14,2.79
12,157072,ONE PIECE BURNING BLOOD GOLD EDITION,2016-04-21,3.11
13,198716,ONE PIECE World Seeker Deluxe Edition,2019-03-14,2.79
14,170046,Assassins Creed Origins Deluxe Edition,2017-10-27,3.97
15,202932,CODE VEIN Deluxe Edition,2019-09-26,3.54
16,227495,SCARLET NEXUS Deluxe Edition,2021-06-25,3.64
17,171780,Ni no Kuni II: Revenant Kingdom - The Prince's Edition,2018-03-23,3.89
18,157072,ONE PIECE BURNING BLOOD GOLD EDITION,2016-04-21,3.11
19,157072,ONE PIECE BURNING BLOOD GOLD EDITION,2016-04-21,3.11
20,157072,ONE PIECE BURNING BLOOD GOLD EDITION,2016-04-21,3.11
21,188229,Assassin's Creed Odyssey - Deluxe Edition,2018-10-05,3.98
22,237593,TEKKEN 7 - Originals Edition,2015-03-18,4.02
23,237437,SCARLET NEXUS Ultimate Edition,2021-06-25,3.64
24,218851,Captain Tsubasa: Rise of New Champions - Deluxe Edition,2020-08-27,3.25
25,202932,CODE VEIN Deluxe Edition,2019-09-26,3.54
26,188216,Assassins Creed Odyssey Gold Edition,2018-10-05,3.98
27,170045,Assassins Creed Origins Gold Edition,2017-10-27,3.97
28,191458,SOULCALIBUR VI Deluxe Edition,2018-10-19,3.71
29,174472,Dragon Ball Fighter Z  FighterZ Edition,2021-09-09,0.0
30,227495,SCARLET NEXUS Deluxe Edition,2021-06-25,3.64
31,237593,TEKKEN 7 - Originals Edition,2015-03-18,4.02
32,202932,CODE VEIN Deluxe Edition,2019-09-26,3.54
33,171780,Ni no Kuni II: Revenant Kingdom - The Prince's Edition,2018-03-23,3.89
34,202932,CODE VEIN Deluxe Edition,2019-09-26,3.54
35,171780,Ni no Kuni II: Revenant Kingdom - The Prince's Edition,2018-03-23,3.89
36,153679,Watch_Dogs 2 Gold Edition,2010-01-13,4.41
37,171780,Ni no Kuni II: Revenant Kingdom - The Prince's Edition,2018-03-23,3.89
38,188217,Assassins Creed Odyssey Ultimate Edition,2018-10-05,3.98
39,237437,SCARLET NEXUS Ultimate Edition,2021-06-25,3.64
40,272975,Captain Tsubasa: Rise of New Champions - Ultimate Edition,2020-08-27,3.25
41,174472,Dragon Ball Fighter Z  FighterZ Edition,2021-09-09,0.0
42,191458,SOULCALIBUR VI Deluxe Edition,2018-10-19,3.71
43,198630,Far Cry 5 and Far Cry New Dawn Deluxe Edition Bundle,2019-02-15,3.36
44,174472,Dragon Ball Fighter Z  FighterZ Edition,2021-09-09,0.0
45,191458,SOULCALIBUR VI Deluxe Edition,2018-10-19,3.71
46,174472,Dragon Ball Fighter Z  FighterZ Edition,2021-09-09,0.0
47,191458,SOULCALIBUR VI Deluxe Edition,2018-10-19,3.71
48,272975,Captain Tsubasa: Rise of New Champions - Ultimate Edition,2020-08-27,3.25
49,246994,Ace Combat 7: Skies Unknown - TOP GUN: Maverick Edition,2019-01-18,3.94
50,233316,Assassins Creed Valhalla Deluxe Edition,2020-11-10,3.72
51,237594,TEKKEN 7 - Definitive Edition,2017-08-29,3.29
52,198638,Far Cry 5 Gold Edition and Far Cry New Dawn Deluxe Edition Bundle,2019-02-15,3.36
53,227569,SCARLET NEXUS Deluxe,2021-06-25,3.64
54,227495,SCARLET NEXUS Deluxe Edition,2021-06-25,3.64
55,246994,Ace Combat 7: Skies Unknown - TOP GUN: Maverick Edition,2019-01-18,3.94
56,237594,TEKKEN 7 - Definitive Edition,2017-08-29,3.29
57,153679,Watch_Dogs 2 Gold Edition,2010-01-13,4.41
58,227942,Disco Elysium - The Final Cut,2021-03-30,4.65
59,241096,Assassins Creed Valhalla - Ragnarok Edition,2020-11-10,3.72
